job_run_at,station_id,groups,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,status_last_reported_utc,lat,lon
2025-05-02 02:50:34.148454+00:00,2,RETIRO,6,8,26,0,,,
2025-05-02 02:50:34.148454+00:00,3,MONSERRAT,6,3,19,0,,,
2025-05-02 02:50:34.148454+00:00,4,SAN NICOLAS,0,1,19,1,,,
2025-05-02 02:50:34.148454+00:00,5,PALERMO,18,2,22,1,,,
2025-05-02 02:50:34.148454+00:00,6,SAN TELMO,14,1,5,0,,,
2025-05-02 02:50:34.148454+00:00,7,SAN NICOLAS,0,0,24,0,,,
2025-05-02 02:50:34.148454+00:00,8,SAN NICOLAS,1,1,22,2,,,
2025-05-02 02:50:34.148454+00:00,9,PALERMO,11,4,9,0,,,
2025-05-02 02:50:34.148454+00:00,12,RECOLETA,2,3,11,1,,,
2025-05-02 02:50:34.148454+00:00,13,BALVANERA,1,0,29,0,,,
2025-05-02 02:50:34.148454+00:00,14,PALERMO,13,1,16,0,,,
2025-05-02 02:50:34.148454+00:00,17,ALMAGRO,2,4,14,0,,,
2025-05-02 02:50:34.148454+00:00,21,PARQUE PATRICIOS,12,6,6,0,,,
2025-05-02 02:50:34.148454+00:00,22,RETIRO,1,1,18,0,,,
2025-05-02 02:50:34.148454+00:00,24,MONSERRAT,3,0,15,0,,,
2025-05-02 02:50:34.148454+00:00,25,PALERMO,2,5,23,0,,,
2025-05-02 02:50:34.148454+00:00,26,PUERTO MADERO,1,2,27,0,,,
2025-05-02 02:50:34.148454+00:00,27,SAN NICOLAS,0,4,16,1,,,
2025-05-02 02:50:34.148454+00:00,29,CABALLITO,8,1,21,0,,,
2025-05-02 02:50:34.148454+00:00,32,SAN NICOLAS,0,2,16,0,,,
2025-05-02 02:50:34.148454+00:00,33,RECOLETA,2,2,16,2,,,
2025-05-02 02:50:34.148454+00:00,35,RETIRO,0,9,23,0,,,
2025-05-02 02:50:34.148454+00:00,36,SAN NICOLAS,1,2,9,0,,,
2025-05-02 02:50:34.148454+00:00,38,RETIRO,5,4,11,0,,,
2025-05-02 02:50:34.148454+00:00,41,PARQUE PATRICIOS,8,2,10,0,,,
2025-05-02 02:50:34.148454+00:00,43,RECOLETA,5,5,10,0,,,
2025-05-02 02:50:34.148454+00:00,44,PALERMO,0,2,18,0,,,
2025-05-02 02:50:34.148454+00:00,45,SAN NICOLAS,1,5,14,0,,,
2025-05-02 02:50:34.148454+00:00,46,SAN TELMO,11,1,6,0,,,
2025-05-02 02:50:34.148454+00:00,48,PUERTO MADERO,10,0,6,0,,,
2025-05-02 02:50:34.148454+00:00,49,BOEDO,9,3,4,0,,,
2025-05-02 02:50:34.148454+00:00,50,PALERMO,1,0,19,0,,,
2025-05-02 02:50:34.148454+00:00,54,ALMAGRO,8,6,6,0,,,
2025-05-02 02:50:34.148454+00:00,56,PALERMO,5,0,15,1,,,
2025-05-02 02:50:34.148454+00:00,57,MONSERRAT,1,4,7,0,,,
2025-05-02 02:50:34.148454+00:00,58,PALERMO,10,1,9,0,,,
2025-05-02 02:50:34.148454+00:00,59,MONSERRAT,5,0,15,0,,,
2025-05-02 02:50:34.148454+00:00,60,SAN NICOLAS,1,5,14,0,,,
